"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"남원시 문오로 479-17",1,전라북도 남원시 문오로 479-17,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 신촌동 51-2",1,전라북도 남원시 신촌동 51-2,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 여수 1길 31",1,전라북도 남원시 여수 1길 31,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 남문로 257-26",1,전라북도 남원시 남문로 257-26,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 신정동 35-1",1,전라북도 남원시 신정동 35-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 한우물길 28-11",1,전라북도 남원시 한우물길 28-11,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 화정동 980",1,전라북도 남원시 화정동 980,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 왕정동 138-1",1,전라북도 남원시 왕정동 138-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 서문3길 21-6",1,전라북도 남원시 서문3길 21-6,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 화정동 345-7",1,전라북도 남원시 화정동 345-7,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 내척동 300",1,전라북도 남원시 내척동 300,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 내척동 303-10",1,전라북도 남원시 내척동 303-10,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 내척동 498-3",1,전라북도 남원시 내척동 498-3,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 내척동 682-7",1,전라북도 남원시 내척동 682-7,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 내척동 498-41",1,전라북도 남원시 내척동 498-41,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 내척동 산 27-10",1,전라북도 남원시 내척동 산 27-10,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 내척동 421-2",1,전라북도 남원시 내척동 421-2,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 내척동 산 27-1",1,전라북도 남원시 내척동 산 27-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 광치동 94-1",1,전라북도 남원시 광치동 94-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 내척동 343",1,전라북도 남원시 내척동 343,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 향교동 287-3",1,전라북도 남원시 향교동 287-3,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 식정동 226-3",1,전라북도 남원시 식정동 226-3,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 식정동 산65-1",1,전라북도 남원시 식정동 산65-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 고죽동 662",1,전라북도 남원시 고죽동 662,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 갈치동 227-2",1,전라북도 남원시 갈치동 227-2,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 갈치동 456",1,전라북도 남원시 갈치동 456,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 갈치동 산81-1",1,전라북도 남원시 갈치동 산81-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 갈치동 449-4",1,전라북도 남원시 갈치동 449-4,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 갈치동 42",1,전라북도 남원시 갈치동 42,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 식정동 467-9",1,전라북도 남원시 식정동 467-9,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 갈치동 442-55",1,전라북도 남원시 갈치동 442-55,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 갈치동 483-1",1,전라북도 남원시 갈치동 483-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 갈치동 96-2",1,전라북도 남원시 갈치동 96-2,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 월락동 131-101",1,전라북도 남원시 월락동 131-101,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 갈치동 104-1",1,전라북도 남원시 갈치동 104-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 남문로 475-4",1,전라북도 남원시 남문로 475-4,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주생면 영천길 172-37",1,전라북도 남원시 주생면 영천길 172-37,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주생면 영천리 699",1,전라북도 남원시 주생면 영천리 699,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주생면 상도길 233",1,전라북도 남원시 주생면 상도길 233,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주생면 상도길 188-15",1,전라북도 남원시 주생면 상도길 188-15,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주생면 반송안길 43-12",1,전라북도 남원시 주생면 반송안길 43-12,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주생면 반송안길 28",1,전라북도 남원시 주생면 반송안길 28,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주생면 주생내동길 49",1,전라북도 남원시 주생면 주생내동길 49,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주생면 장산길 42-7",1,전라북도 남원시 주생면 장산길 42-7,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 인화리 407-1",1,전라북도 남원시 사매면 인화리 407-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 인화길 52-6",1,전라북도 남원시 사매면 인화길 52-6,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 서도리 821-14",1,전라북도 남원시 사매면 서도리 821-14,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 서도리 869",1,전라북도 남원시 사매면 서도리 869,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 서도리 90-1",1,전라북도 남원시 사매면 서도리 90-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 구술길 36-3",1,전라북도 남원시 사매면 구술길 36-3,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 계수리 662-9",1,전라북도 남원시 사매면 계수리 662-9,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 대율리 18-5",1,전라북도 남원시 사매면 대율리 18-5,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 대율리 895-2",1,전라북도 남원시 사매면 대율리 895-2,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 대율화정길 79-115",1,전라북도 남원시 사매면 대율화정길 79-115,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 화정리 517-12",1,전라북도 남원시 사매면 화정리 517-12,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 화정리 517-17",1,전라북도 남원시 사매면 화정리 517-17,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 춘향로 822-63",1,전라북도 남원시 사매면 춘향로 822-63,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 세동길 63",1,전라북도 남원시 사매면 세동길 63,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 대신리 677",1,전라북도 남원시 사매면 대신리 677,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 용북길 17",1,전라북도 남원시 사매면 용북길 17,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 오신리 508-1",1,전라북도 남원시 사매면 오신리 508-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 사매면 대율리 840-1",1,전라북도 남원시 사매면 대율리 840-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 가송길 7",1,전라북도 남원시 주천면 가송길 7,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 장안리 26-20",1,전라북도 남원시 주천면 장안리 26-20,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 배덕리 658",1,전라북도 남원시 주천면 배덕리 658,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 배덕리 591-1",1,전라북도 남원시 주천면 배덕리 591-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면  배덕리 921",1,전라북도 남원시 주천면 배덕리 921,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면  배덕리",1,전라북도 남원시 주천면 배덕리,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 쑥고개로 477-12",1,전라북도 남원시 주천면 쑥고개로 477-12,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면  내송길 29-8",1,전라북도 남원시 주천면 내송길 29-8,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면  호기리 587",1,전라북도 남원시 주천면 호기리 587,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 원천로 436-41",1,전라북도 남원시 주천면 원천로 436-41,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 고기리 388",1,전라북도 남원시 주천면 고기리 388,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 고기리 45-30",1,전라북도 남원시 주천면 고기리 45-30,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 고기리 산 40-1",1,전라북도 남원시 주천면 고기리 산 40-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 노치길 68",1,전라북도 남원시 주천면 노치길 68,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면  장안리 191-6",1,전라북도 남원시 주천면 장안리 191-6,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 고촌 151",1,전라북도 남원시 고촌 151,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 주천리 233-1",1,전라북도 남원시 주천면 주천리 233-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 내기 삼거리",1,전라북도 남원시 내기 삼거리,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 하주(주천면 주천리)",1,전라북도 남원시 하주(주천면 주천리),,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 고기리268-1",1,전라북도 남원시 주천면 고기리268-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 고기리 258-1",1,전라북도 남원시 주천면 고기리 258-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 산동면 대촌길 12-15",1,전라북도 남원시 산동면 대촌길 12-15,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 산동면 목동길 23-9",1,전라북도 남원시 산동면 목동길 23-9,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 산동면 대기리 1142-8",1,전라북도 남원시 산동면 대기리 1142-8,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 산동면 부절1길 45-11",1,전라북도 남원시 산동면 부절1길 45-11,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 산동면 월석리 640-1",1,전라북도 남원시 산동면 월석리 640-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 용정동 753-195",1,전라북도 남원시 용정동 753-195,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 대강면 생암리 596-1",1,전라북도 남원시 대강면 생암리 596-1,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 호경리 463-9",1,전라북도 남원시 주천면 호경리 463-9,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 주천면 호경리 63",1,전라북도 남원시 주천면 호경리 63,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 산내면 지리산로 1357-8",1,전라북도 남원시 산내면 지리산로 1357-8,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"대정리 637-3",1,전라북도 남원시 대정리 637-3,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 이백면 과립리 727-7",1,전라북도 남원시 이백면 과립리 727-7,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 아영면의지리 1019-6",1,전라북도 남원시 아영면의지리 1019-6,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 아영면 의지리 820-14",1,전라북도 남원시 아영면 의지리 820-14,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 산내면부운리 656",1,전라북도 남원시 산내면부운리 656,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 산내면 부운리 365",1,전라북도 남원시 산내면 부운리 365,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"남원시 아영면의지리 811-6",1,전라북도 남원시 아영면의지리 811-6,,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-838",1,전북전라북도 남원시 황산로 823,전라북도 남원시 운봉읍 장교리 217-12,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-839",1,,전라북도 남원시 운봉읍 덕산리 1098-6,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-840",1,,전라북도 남원시 운봉읍 덕산리 1134,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-841",1,,전라북도 남원시 운봉읍 덕산리 1064,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-842",1,,전라북도 남원시 운봉읍 주촌리 300-32,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-843",1,,전라북도 남원시 운봉읍 주촌리 410-2,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-844",1,,전라북도 남원시 운봉읍 주촌리 870-3,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-845",1,,전라북도 남원시 운봉읍 화수리 1116,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-846",1,,전라북도 남원시 운봉읍 화수리 433,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-847",1,,전라북도 남원시 운봉읍 화수리 145-276,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-848",1,,전라북도 남원시 운봉읍 화수리 678,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-849",1,전라북도 남원시 운봉읍 황산로 1341,전라북도 남원시 운봉읍 화수리 140-7,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-850",1,,전라북도 남원시 운봉읍 가산리 36-2,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-851",1,전라북도 남원시 운봉읍 수철길 21,전라북도 남원시 운봉읍 공안리 242-1,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-852",1,,전라북도 남원시 운봉읍 산덕리 1124,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-853",1,,전라북도 남원시 운봉읍 서천리 509-4,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-854",1,,전라북도 남원시 운봉읍 장교리 1080-12,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-855",1,,전라북도 남원시 운봉읍 장교리 456-3,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-856",1,전라북도 남원시 운봉읍 새연동길 67-28,전라북도 남원시 운봉읍 장교리 산16-5,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"운봉-857",1,,전라북도 남원시 운봉읍 매요리 604-3,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-507",1,,전라북도 남원시 수지면 산정리 934-57,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-508",1,,전라북도 남원시 수지면 산정리 14-1,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-509",1,,전라북도 남원시 수지면 산정리 1037-1,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-510",1,전라북도 남원시 수지면 수지산촌길 193,전라북도 남원시 수지면 산정리 741,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-511",1,,전라북도 남원시 수지면 산정리 664-3,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-512",1,,전라북도 남원시 수지면 남창리 1851-11,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-513",1,,전라북도 남원시 수지면 호곡리 792-2,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-514",1,,전라북도 남원시 수지면 호곡리 911-2,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-515",1,,전라북도 남원시 수지면 호곡리 647-2,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-516",1,,전라북도 남원시 수지면 고평리 산 109,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-517",1,,전라북도 남원시 수지면 고평리 산 111,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-518",1,,전라북도 남원시 수지면 고평리 산 114,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-519",1,,전라북도 남원시 수지면 고평리 산 144,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-520",1,,전라북도 남원시 수지면 고평리 산 145-1,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"수지-521",1,,전라북도 남원시 수지면 산정리 26-2,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-603",1,,전라북도 남원시 송동면 연산리 384-3,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-604",1,전라북도 남원시 송동면 송동신촌길 28,전라북도 남원시 송동면 두신리 595-2,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-605",1,,전라북도 남원시 송동면 송상리 503-1,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-606",1,전라북도 남원시 송동면 송상장국길 163,전라북도 남원시 송동면 송상리 655,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-607",1,전라북도 남원시 송동면 송내사촌길 192-76,전라북도 남원시 송동면 사촌리 408,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-608",1,,전라북도 남원시 송동면 장국리 315-1,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-609",1,,전라북도 남원시 송동면 장국리 866-2,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-610",1,전라북도 남원시 송동면 안계길 134-7,전라북도 남원시 송동면 흑송리 337,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-611",1,,전라북도 남원시 송동면 신평리 1119-1,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-612",1,,전라북도 남원시 송동면 신평리 468,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-613",1,,전라북도 남원시 송동면 신평리 1124-1,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-614",1,,전라북도 남원시 송동면 신평리 1124-3,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
"송동-615",1,,전라북도 남원시 송동면 신평리 469-4,,,2021,,063-620-6455,전라북도 남원시청,2023-06-13
